Date,Chlorophyll
2006-01-01,0.5248357076505616
2006-01-02,0.49050478151806554
2006-01-03,0.5272211851616228
2006-01-04,0.5684085427369132
2006-01-05,0.47797196724348523
2006-01-06,0.475398432341924
2006-01-07,0.5634953861582543
2006-01-08,0.5203405297227426
2006-01-09,0.45593446488626266
2006-01-10,0.5039816790796561
2006-01-11,0.45113514373215524
2006-01-12,0.44847950584500057
2006-01-13,0.48133243859800884
2006-01-14,0.3710477608164853
2006-01-15,0.3779531934734558
2006-01-16,0.4335826292705233
2006-01-17,0.408564720353163
2006-01-18,0.47244000169767236
2006-01-19,0.4088606125254961
2006-01-20,0.38119436567938075
2006-01-21,0.5226540035069607
2006-01-22,0.43565976664921746
2006-01-23,0.4479177288007952
2006-01-24,0.3709130797527861
2006-01-25,0.4125576653928449
2006-01-26,0.4429670890936458
2006-01-27,0.3775339822463202
2006-01-28,0.45155049965622196
2006-01-29,0.4004355248686321
2006-01-30,0.4136052364929679
2006-01-31,0.3958483368645336
2006-02-01,0.5163132676476312
2006-02-02,0.4208127976582708
2006-02-03,0.36641367782146
2006-02-04,0.4582619486300165
2006-02-05,0.35395255405778125
2006-02-06,0.42332313873216765
2006-02-07,0.31280749076189673
2006-02-08,0.34231916703780957
2006-02-09,0.41653604952732604
2006-02-10,0.4416084838662439
2006-02-11,0.41127397990425135
2006-02-12,0.3949723931442462
2006-02-13,0.38377827239559376
2006-02-14,0.3230159853980786
2006-02-15,0.3590890405225175
2006-02-16,0.37021956810974443
2006-02-17,0.44430950556655896
2006-02-18,0.40686836103382523
2006-02-19,0.29980217907738005
2006-02-20,0.4024583271979554
2006-02-21,0.3653336619465935
2006-02-22,0.34910952232408576
2006-02-23,0.41194196592852683
2006-02-24,0.4313458128985961
2006-02-25,0.4248331471047058
2006-02-26,0.33481764084350596
2006-02-27,0.3598637872525681
2006-02-28,0.39047041072500643
2006-03-01,0.4213046926269888
2006-03-02,0.3472266943663651
2006-03-03,0.3605985979573696
2006-03-04,0.3132994955280622
2006-03-05,0.30757954230446194
2006-03-06,0.4068290891507776
2006-03-07,0.4328673709807047
2006-03-08,0.36034742200058795
2006-03-09,0.41305744666680116
2006-03-10,0.37993610809488654
2006-03-11,0.32861275973286425
2006-03-12,0.3779941959519819
2006-03-13,0.43592341963201414
2006-03-14,0.356369239930431
2006-03-15,0.4355737053464273
2006-03-16,0.22557752080672694
2006-03-17,0.39692565763791604
2006-03-18,0.3594913627636803
2006-03-19,0.33954004419898054
2006-03-20,0.35847297055091204
2006-03-21,0.25394430304410687
2006-03-22,0.341820435067383
2006-03-23,0.37018455606277345
2006-03-24,0.4257922858779779
2006-03-25,0.32559661482321467
2006-03-26,0.3107419884426508
2006-03-27,0.3257794617866804
2006-03-28,0.3963822564630269
