Date,Chemical_Plume
2006-01-01,0.07077455799829824
2006-01-02,0.025236777113290827
2006-01-03,0.0699277685128602
2006-01-04,0.08715181753299331
2006-01-05,0.048794385019440376
2006-01-06,0.029782370068207976
2006-01-07,0.047224071981089286
2006-01-08,0.005464769500855476
2006-01-09,0.04924226597956317
2006-01-10,0.06641934278625991
2006-01-11,0.04928484711252972
2006-01-12,0.04431720890622065
2006-01-13,0.06055136232224066
2006-01-14,0.06208049693899106
2006-01-15,0.016801888749896347
2006-01-16,0.05177645924557577
2006-01-17,0.09871970248458486
2006-01-18,0.023299675087039524
2006-01-19,0.048291623343338676
2006-01-20,0.08883492244103405
2006-01-21,0.07208350313087351
2006-01-22,0.03973206638447877
2006-01-23,0.05412270759245208
2006-01-24,0.049957766400303534
2006-01-25,0.035038563913566655
2006-01-26,0.04851495785013835
2006-01-27,0.04440067734386942
2006-01-28,0.052254978761534995
2006-01-29,0.035032336386179336
2006-01-30,0.02446763599510678
2006-01-31,0.04917438453215259
2006-02-01,0.0843023643635756
2006-02-02,0.051644058525255936
2006-02-03,0.04336812442136909
2006-02-04,0.06508171610076997
2006-02-05,0.046833607748092435
2006-02-06,0.0873606584991822
2006-02-07,0.04992174981409843
2006-02-08,0.06400994126316327
2006-02-09,0.03490791235213454
2006-02-10,0.06006178506673325
2006-02-11,0.055501869538875086
2006-02-12,0.048869877506815845
2006-02-13,0.0399648447766056
2006-02-14,0.03723939668695252
2006-02-15,0.05564705327959305
2006-02-16,0.06257878219392947
2006-02-17,0.047456744074117374
2006-02-18,0.05574535858241585
2006-02-19,0.04924170643734461
2006-02-20,0.05197052049810776
2006-02-21,0.0459911003464555
2006-02-22,0.05035945158736617
2006-02-23,0.10396080913634853
2006-02-24,0.0562326859761485
2006-02-25,0.06290593916862086
2006-02-26,0.05876047210656194
2006-02-27,0.044743663534058814
2006-02-28,0.07587978426583336
2006-03-01,0.04417672459147318
2006-03-02,0.07110109097885103
2006-03-03,0.04331586003867103
2006-03-04,0.030800549617119186
2006-03-05,0.05730792416472386
2006-03-06,0.02790663287795787
2006-03-07,0.06071280450033219
2006-03-08,0.02611682687817367
2006-03-09,0.04361983939054294
2006-03-10,0.021365406069505172
2006-03-11,0.10648334018805458
2006-03-12,0.016920808807673715
2006-03-13,0.05019627480792809
2006-03-14,0.07286608548660028
2006-03-15,0.0707277181717405
2006-03-16,0.06702684244346274
2006-03-17,0.043655432235570495
2006-03-18,0.07702177892674004
2006-03-19,0.06826782181604366
2006-03-20,0.05424599235320954
2006-03-21,0.05481161515453185
2006-03-22,0.04392154704769255
2006-03-23,0.03180695948333924
2006-03-24,0.07474301950957433
2006-03-25,0.07624415987203065
2006-03-26,0.032317817179401576
2006-03-27,0.046924296697076165
2006-03-28,0.04713153567082142
2006-03-29,0.049346881925193806
2006-03-30,0.051285897571751636
2006-03-31,0.0689372292329236
2006-04-01,0.03505565383026513
2006-04-02,0.0330730601697468
2006-04-03,0.07473239484285951
2006-04-04,0.04074710516237404
2006-04-05,0.024739292928458678
2006-04-06,0.0402974011580026
2006-04-07,0.043398945295119985
2006-04-08,0.0810992545545153
2006-04-09,0.06849652424753475
2006-04-10,0.07295041233264485
2006-04-11,0.06639947284693573
2006-04-12,0.06892487343230629
2006-04-13,0.03623835746839364
2006-04-14,0.046027956892930315
2006-04-15,0.030201693739529027
2006-04-16,0.045790239389259337
2006-04-17,0.06368209981869483
2006-04-18,0.052691665696244935
2006-04-19,0.0762296163792059
2006-04-20,0.02717168415545562
2006-04-21,0.0600047670139648
2006-04-22,0.02503394396261364
2006-04-23,0.05188352938347285
2006-04-24,0.06480666845112958
2006-04-25,0.04570994866351562
2006-04-26,0.06102253208173912
2006-04-27,0.03080535330334132
2006-04-28,0.01672620043607234
2006-04-29,0.061140592449756066
2006-04-30,0.08488020468151466
2006-05-01,0.030079101196602162
2006-05-02,0.07444388360213591
2006-05-03,0.05086846817632822
2006-05-04,0.023286169566138482
2006-05-05,0.027369893972956753
2006-05-06,0.050315695467213005
2006-05-07,0.041910754241517925
2006-05-08,0.023741740464835223
2006-05-09,0.0161192143754919
2006-05-10,0.03306561344146988
2006-05-11,0.053876180166622364
2006-05-12,0.049871984947937244
2006-05-13,0.039975240849998435
2006-05-14,0.05403774388582966
2006-05-15,0.07080053439725376
2006-05-16,0.05788253020868296
2006-05-17,0.04757382657220839
2006-05-18,0.06856144013321377
2006-05-19,0.030802993955674103
2006-05-20,0.04550160920889297
2006-05-21,0.04597824128799264
2006-05-22,0.025260934831143098
2006-05-23,0.04160251675431285
2006-05-24,0.00850080638209394
2006-05-25,0.08824356095325908
2006-05-26,0.031251724231273745
2006-05-27,0.08172228262842623
2006-05-28,0.05076169011438985
2006-05-29,0.06129728264311918
2006-05-30,0.040224004032981375
2006-05-31,0.05415859383923349
2006-06-01,0.06300979279976872
2006-06-02,0.06329104828788365
2006-06-03,0.06549546780148714
2006-06-04,0.042633345799216474
2006-06-05,0.0403928065501729
2006-06-06,0.018116473494647928
2006-06-07,0.06046438022353874
2006-06-08,0.07164757422646886
2006-06-09,0.08231963359835859
2006-06-10,0.056103452691610156
2006-06-11,0.03467040454182862
2006-06-12,0.016058077134210896
2006-06-13,0.07083333466166701
2006-06-14,0.014074468664449294
2006-06-15,0.043187918445124665
2006-06-16,0.04551386344112708
2006-06-17,0.048610897242979616
2006-06-18,0.050716052000716806
2006-06-19,0.05276295112735151
2006-06-20,0.0016927347584294108
2006-06-21,0.050293118197402537
2006-06-22,0.005408488517762454
2006-06-23,0.0646443614618199
2006-06-24,0.03889749688392776
2006-06-25,0.006859265495532993
2006-06-26,0.033715906452292485
2006-06-27,0.03859849321630693
